career,skills
DevSecOps Engineer,python | kubernetes | docker | security automation | security | sast/dast | secret management | linux | owasp | ci/cd | devops | incident response | policy as code | compliance as code | container security | git
AI Safety Engineer,documentation | interpretability | risk assessment | stakeholder engagement | machine learning | bias detection | testing | ethics | llms | mathematics | red teaming | alignment research | robustness testing | policy understanding | reinforcement learning | safety engineering
Business Analyst,power bi | swot analysis | sql | presentation skills | documentation | use case modeling | risk analysis | stakeholder management | uml diagrams | communication | requirements gathering | process mapping | bpmn | excel | visio | change management
Swift Developer,git | macos development | rest api | ios development | localization | objective-c | testing | app store | in-app purchase | instruments | concurrency | core data | swift | swiftui | push notifications | combine | accessibility | package manager
Security Engineer,docker | security fundamentals | security automation | network security | python | git | penetration testing | forensics | vulnerability management | kubernetes | linux | cryptography | cloud security | compliance | bash | zero trust
Database Administrator,oracle | cloud | redis | python | data modeling | high availability | backup recovery | partitioning | database design | postgresql | replication | linux | mysql | bash | sql | stored procedures
SEO Specialist,link building | page speed optimization | e-commerce seo | content writing | google search console | wordpress | data analysis | schema markup | core web vitals | google analytics | competitive analysis | ahrefs/semrush | keyword research | seo | technical seo
Prompt Engineer,bias mitigation | context management | prompt engineering | communication | chain-of-thought | workflow automation | a/b testing | evaluation frameworks | langchain | fine tuning | llms | documentation | api integration | rag | few-shot learning
Product Manager,kpis | jira | feature scoping | go-to-market strategy | competitive analysis | agile | stakeholder management | sql | customer interviews | product strategy | okrs | sprint planning | prioritization | communication | wireframing | roadmap planning | user research | data analysis
Scrum Master,conflict resolution | communication | retrospectives | reporting | sprint planning | velocity tracking | scrum | team building | burn-down charts | facilitation | kanban | servant leadership | agile | leadership | jira | coaching
IoT Engineer,arduino | data processing | embedded systems | wireless communication | rest api | esp32 | wifi | aws iot | linux | mqtt | python | cloud computing | iot | raspberry pi | iot security | http
Swift Developer,core data | swiftui | git | in-app purchase | combine | objective-c | instruments | package manager | ios development | localization | rest api | cloudkit | testing | push notifications | accessibility | swift
Product Designer,product strategy | invision | competitive analysis | metrics | a/b testing | stakeholder management | design sprints | ui design | communication | prototyping | design systems | ux research | data analysis | user flows | accessibility | sketch | html/css
.NET Developer,.net | docker | dependency injection | ci/cd | kubernetes | linq | signalr | blazor | design patterns | microservices | wpf | grpc | c# | entity framework | unit testing | rest api
Software Architect,system design | service mesh | containerization | security | domain-driven design | microservices | distributed systems | technical leadership | performance optimization | cqrs | api design | observability | sql | database design | documentation | nosql
Platform Engineer,developer experience | cloud | service mesh | linux | helm | kubernetes | cost optimization | monitoring | terraform | gitops | bash | ansible | ci/cd | documentation | observability | docker
iOS Developer,rest api | avfoundation | git | testing | combine | concurrency | push notifications | cloudkit | swiftui | in-app purchase | core data | core location | uikit | alamofire | swift | app store deployment
Flutter Developer,firebase | clean architecture | ui/ux design | app store deployment | ci/cd | internationalization | dart | rest api | state management | bloc pattern | flutter | riverpod | responsive layouts | platform channels | animations | flavors | sqlite
Cloud Data Engineer,monitoring | airflow | snowflake | data warehousing | python | redshift | kafka | bigquery | delta lake | spark | data pipelines | docker | terraform | cloud | sql | data quality | git
Technical Project Manager,waterfall | agile | jira | change management | confluence | ms project | budgeting | project management | communication | issue tracking | contract management | scope management | quality assurance | reporting | risk management | technical background | schedule management | stakeholder management
Site Reliability Engineer,python | kubernetes | docker | postmortem | slo/sla | capacity planning | incident management | distributed systems | networking | automation | runbooks | linux | grafana | on-call practices | chaos engineering | monitoring | prometheus | cloud
Site Reliability Engineer (SRE),monitoring | linux | prometheus | kubernetes | grafana | git | cloud | python | runbooks | distributed systems | docker | automation | chaos engineering | networking | incident management | capacity planning | slo/sla
Robotics Engineer,mathematics | linux | testing | computer vision | electronics | embedded systems | computer aided design | sensor fusion | control systems | pcb design | path planning | gazebo | slam | hardware integration | c++ | python
Electrical Engineer,power systems | simulink | electrical circuits | protection systems | control systems | generators | electrical wiring | motors | instrumentation | renewable energy | autocad electrical | plc | power electronics | transformers | electrical safety | scada | electrical machines | matlab
Cybersecurity Analyst,vulnerability assessment | cloud security | threat intelligence | security fundamentals | incident response | log analysis | networking | python | compliance | penetration testing | forensics | owasp | linux | risk assessment | cryptography | security auditing | firewalls | siem
WordPress Developer,html | security hardening | css | woocommerce | rest api | multisite | performance optimization | git | seo basics | wordpress | page builders | php | plugin development | mysql | elementor | cdn | acf | gutenberg
React Developer,react query | rest api | typescript | context api | html | next.js | graphql | accessibility | storybook | redux | styled components | jest | react hooks | webpack | performance optimization | css
Solutions Engineer,troubleshooting | rest api | product knowledge | sql | customer success | use case development | stakeholder management | pre-sales | python | communication | docker | networking | scripting | cloud | technical sales | solution architecture | security | presentation skills
Technical Project Manager,change management | confluence | waterfall | budgeting | schedule management | stakeholder management | technical background | project management | communication | ms project | jira | scope management | risk management | contract management | reporting | resource planning | issue tracking | leadership
Automation Engineer,rest api testing | ansible | bdd | test frameworks | python | agile | java | docker | bash | testing | reporting | ci/cd | robot framework | git | performance testing
Technical Writer,version control | markdown | content strategy | collaboration tools | html | research skills | technical writing | git | release notes | information architecture | api documentation | style guides | editing | diagramming tools | communication
Software Architect,distributed systems | observability | message queues | nosql | documentation | sql | domain-driven design | event-driven architecture | performance optimization | security | microservices | database design | cloud | system design | service mesh
Game Developer,game design | ui design | multiplayer networking | level design | git | particle systems | performance optimization | animation | asset pipeline | shader programming | unreal engine | c# | version control | game analytics | c++ | unity
Helpdesk Technician,communication | ticketing systems | office 365 | remote desktop | active directory | customer service | troubleshooting | hardware | documentation | security awareness | user training | networking | vpn | email administration | itil | printer support | linux | windows
Quantitative Analyst,stochastic calculus | vba | numpy | derivatives | r | monte carlo simulation | sql | mathematics | pandas | machine learning | financial modeling | portfolio management | statistics | risk management | optimization | python
Computer Hardware Engineer,hardware debugging | memory systems | computer architecture | uart | spi | fpga | microcontrollers | usb | cpu architecture | microprocessors | linux | pcb design | pcie | embedded systems | hardware testing | digital electronics | bus architecture | circuit design
Java Developer,design patterns | hibernate | rest api | docker | reactive programming | microservices | maven | redis | git | java | junit | gradle | sql | multithreading | cloud | spring boot | spring security | kubernetes
SEO Specialist,content strategy | reporting | wordpress | html | local seo | ahrefs/semrush | data analysis | page speed optimization | link building | google search console | core web vitals | competitive analysis | schema markup | google analytics | seo | international seo | content writing | keyword research
Security Engineer,iam | compliance | kubernetes | threat modeling | security fundamentals | security automation | cloud security | forensics | network security | git | bash | python | cryptography | penetration testing | docker | siem | linux | vulnerability management
Swift Developer,rest api | git | ios development | localization | in-app purchase | core data | concurrency | cloudkit | accessibility | push notifications | swiftui | macos development | instruments | xcode | package manager | swift
Electronics Engineer,communication systems | multimeter | testing and debugging | pcb design | analog electronics | emi/emc | sensors | embedded c | embedded systems | technical documentation | spice | oscilloscopes | signal processing | matlab | electronics prototyping
Application Security Engineer,javascript | authorization | bug bounty | security architecture | api security | secure code review | ci/cd security | git | cryptography | fuzzing | supply chain security | authentication | owasp | docker | sast/dast | python | penetration testing
Platform Engineer,service mesh | internal tooling | networking | observability | security | gitops | kubernetes | monitoring | linux | cloud | python | bash | helm | docker | developer experience
GraphQL Developer,sql | testing | dataloader | resolvers | rest api | subscriptions | react | apollo | node.js | mongodb | redis | git | schema design | authentication | docker | postgresql | javascript
Research Scientist (AI),mathematics | deep learning | python | tensorflow | collaboration | machine learning | computer vision | distributed training | reproducibility | benchmarking | nlp | research | data analysis | experimentation | gpu programming | reinforcement learning | statistics | paper writing
Fullstack Developer,rest api | graphql | html | linux | docker | cloud | git | next.js | mongodb | javascript | typescript | redis | react | css | authentication | ci/cd | sql | websockets
Technical Project Manager,risk management | technical background | change management | stakeholder management | communication | schedule management | leadership | reporting | budgeting | quality assurance | scope management | resource planning | contract management | waterfall | ms project | issue tracking | confluence
Site Reliability Engineer,grafana | prometheus | kubernetes | runbooks | postmortem | python | bash | capacity planning | linux | chaos engineering | networking | slo/sla | docker | distributed systems | cloud | monitoring | git | incident management
Security Engineer,security automation | network security | siem | iam | cryptography | threat modeling | linux | compliance | security fundamentals | git | incident response | vulnerability management | python | penetration testing | bash | forensics | docker | kubernetes
Platform Engineer,developer experience | security | kubernetes | service mesh | ci/cd | helm | linux | internal tooling | docker | documentation | terraform | cost optimization | bash | ansible | gitops | monitoring
IoT Engineer,http | edge computing | sensors | iot | python | iot security | bluetooth | wifi | raspberry pi | arduino | embedded c | wireless communication | cloud computing | data processing | rest api | esp32 | linux
Computer Vision Engineer,yolo | pytorch | python | image segmentation | opencv | 3d vision | tensorrt | computer vision | data augmentation | ros | cuda | mathematics | object detection | image processing | transfer learning
AI Engineer,cloud | hugging face | llms | vector databases | openai api | rag | langchain | prompt engineering | linux | python | git | fine tuning | fastapi | machine learning | transformers | mlops
Product Designer,sketch | metrics | figma | data analysis | invision | prototyping | html/css | design systems | communication | user flows | accessibility | a/b testing | motion design | ui design | user journey mapping
PHP Developer,composer | redis | javascript | eloquent orm | docker | git | queue jobs | linux | laravel | mysql | wordpress | css | caching | blade templates | api authentication | phpunit | rest api
iOS Developer,testing | core location | swiftui | uikit | cloudkit | alamofire | swift | testflight | push notifications | xcode | app store deployment | core data | avfoundation | concurrency | in-app purchase | combine | arkit
WordPress Developer,seo basics | acf | git | gutenberg | multisite | mysql | theme development | woocommerce | performance optimization | css | php | html | elementor | cdn | plugin development | rest api | wordpress | security hardening
Machine Learning Engineer,pandas | kubernetes | docker | cloud | scikit-learn | git | model evaluation | deep learning | linux | machine learning | python | mlops | rest api | statistics | data pipelines
Android Developer,coroutines | navigation component | mvvm architecture | material design | java | ci/cd | workmanager | google play deployment | testing | retrofit | android sdk | git | room database | notifications | kotlin | firebase | rest api
VLSI Engineer,routing | placement | dft | design verification | systemverilog | logic synthesis | semiconductor design | cmos | floorplanning | rtl design | asic design | clock tree synthesis | cadence | vhdl | digital electronics | fpga | synopsys | verilog
MLOps Engineer,linux | prometheus | machine learning | cloud | kubeflow | bash | docker | kubernetes | feature stores | terraform | git | ci/cd | mlflow | apache airflow | bentoml
Full Stack Machine Learning Engineer,docker | react | ci/cd | model deployment | mlops | feature engineering | fastapi | kubernetes | testing | postgresql | monitoring | rest api | cloud | deep learning | git | python | typescript | machine learning
Technical Project Manager,reporting | resource planning | project management | communication | stakeholder management | technical background | waterfall | contract management | budgeting | schedule management | change management | jira | scope management | issue tracking | risk management
Security Engineer,siem | compliance | penetration testing | threat modeling | git | forensics | security fundamentals | security automation | network security | cryptography | docker | bash | zero trust | kubernetes | cloud security | python
Flutter Developer,platform channels | push notifications | clean architecture | sqlite | git | app store deployment | ui/ux design | riverpod | testing | firebase | dart | flutter | animations | responsive layouts | bloc pattern | flavors | internationalization
Prompt Engineer,few-shot learning | rag | a/b testing | documentation | bias mitigation | chain-of-thought | data analysis | prompt engineering | llms | workflow automation | python | model selection | evaluation frameworks | nlp | context management | communication
WordPress Developer,theme development | multisite | elementor | page builders | woocommerce | security hardening | gutenberg | cdn | acf | rest api | performance optimization | git | mysql | css | php | seo basics
MLOps Engineer,bentoml | cloud | kubeflow | dvc | mlflow | apache airflow | terraform | machine learning | model monitoring | docker | feature stores | grafana | prometheus | ci/cd | bash | kubernetes
Python Developer,sqlalchemy | linux | python | numpy | rest api | cloud | pydantic | sql | pandas | flask | docker | celery | django | asyncio | git | postgresql | redis | pytest
Flutter Developer,app store deployment | clean architecture | push notifications | ui/ux design | testing | flutter | animations | responsive layouts | platform channels | ci/cd | rest api | firebase | flavors | state management | bloc pattern | internationalization | dart
React Native Developer,rest api | expo | ci/cd | react native | animations | navigation | javascript | app store deployment | deep linking | react | debugging | firebase | performance optimization | typescript | push notifications | redux
Cloud Security Engineer,threat detection | siem | encryption | cloud security | devsecops | security fundamentals | iam | compliance | linux | casb | zero trust | python | incident response | cspm | security automation | container security | dlp
GraphQL Developer,rest api | redis | resolvers | sql | node.js | federation | dataloader | docker | mongodb | postgresql | schema design | testing | authentication | git | apollo | javascript | subscriptions | typescript
Backend Developer,node.js | websockets | kafka | docker | python | sql | git | postgresql | message queues | linux | authentication | java | caching | graphql | redis | system design | mongodb
AI Engineer,machine learning | python | prompt engineering | openai api | vector databases | transformers | git | nlp | fastapi | mlops | hugging face | llms | langchain | docker | cloud | pytorch | fine tuning | rag
Data Governance Analyst,data lineage | change management | sql | data stewardship | compliance | gdpr | data quality | business acumen | data policies | data architecture | risk management | excel | data catalog | stakeholder management | metadata management | master data management | data governance
IT Auditor,documentation | risk management | networking | cloud | reporting | it audit | sql | vulnerability assessment | communication | internal controls | data analysis | security fundamentals | change management | compliance | itil | gdpr
Go Developer,linux | ci/cd | message queues | bash | microservices | networking | redis | go | sql | cloud | concurrency | docker | grpc | security | kubernetes | rest api
Data Engineer,linux | bigquery | pandas | data pipelines | redshift | etl | apache spark | cloud | snowflake | apache airflow | git | data warehousing | scala | docker | nosql | python | dbt
Cybersecurity Analyst,python | vulnerability assessment | security fundamentals | owasp | networking | malware analysis | penetration testing | risk assessment | siem | cryptography | linux | compliance | log analysis | firewalls | ids/ips
Electrical Engineer,transformers | power systems | simulink | autocad electrical | matlab | plc | electrical safety | testing and maintenance | scada | generators | instrumentation | electrical machines | electrical circuits | control systems | motors | renewable energy | circuit analysis | power electronics
VLSI Engineer,rtl design | physical design | static timing analysis | fpga | floorplanning | vhdl | systemverilog | dft | asic design | cadence | routing | placement | cmos | design verification | clock tree synthesis | semiconductor design
UI/UX Designer,typography | persona creation | interaction design | user journey mapping | motion design | ui design | prototyping | adobe xd | a/b testing | accessibility | user testing | design systems | information architecture | ux research | design thinking | figma | sketch
Cloud Data Engineer,etl | data quality | python | dbt | terraform | ci/cd | delta lake | airflow | data warehousing | docker | spark | sql | data pipelines | git | snowflake | bigquery
Technical Project Manager,leadership | agile | budgeting | project management | confluence | stakeholder management | change management | waterfall | risk management | communication | technical background | ms project | issue tracking | scope management | jira | contract management
Full Stack Machine Learning Engineer,mlops | fastapi | model deployment | testing | cloud | python | typescript | rest api | redis | deep learning | feature engineering | docker | machine learning | ci/cd | monitoring | git | kubernetes
Helpdesk Technician,office 365 | networking | active directory | user training | escalation management | troubleshooting | security awareness | printer support | linux | email administration | vpn | mobile device management | itil | remote desktop | customer service | hardware | communication | windows
Software Architect,design patterns | distributed systems | system design | security | observability | containerization | event-driven architecture | microservices | cqrs | performance optimization | nosql | domain-driven design | technical leadership | database design | sql | documentation
AR/VR Developer,haptics | webxr | 3d audio | xr development | animation | unreal engine | oculus sdk | performance optimization | physics simulation | shader programming | openxr | 3d modeling | unity | arkit/arcore | gesture recognition | c# | ux for xr | hololens sdk
Cloud Engineer,iam | kubernetes | cloud | multi-cloud | linux | cloud security | docker | ansible | cost optimization | ci/cd | networking | auto scaling | load balancing | dns | serverless
Swift Developer,instruments | concurrency | combine | accessibility | macos development | xcode | package manager | swift | in-app purchase | core data | ios development | swiftui | objective-c | git | cloudkit
DevOps Engineer,ansible | jenkins | load balancing | elk stack | kubernetes | helm | git | docker | service mesh | nginx | monitoring | linux | github actions | prometheus | terraform
IT Auditor,security fundamentals | compliance | sox | vulnerability assessment | risk management | data analysis | cobit | cloud | business processes | itil | it audit | networking | internal controls | documentation | change management | communication | gdpr | reporting
Electrical Engineer,electrical safety | matlab | transformers | power systems | scada | motors | plc | simulink | autocad electrical | electrical wiring | electrical circuits | electrical machines | instrumentation | generators | power electronics | protection systems | circuit analysis | control systems
Cloud Engineer,linux | ansible | multi-cloud | serverless | load balancing | iam | cost optimization | python | ci/cd | docker | networking | cdn | terraform | auto scaling | monitoring | kubernetes
DevSecOps Engineer,security automation | linux | terraform | git | compliance as code | python | sast/dast | risk assessment | vulnerability scanning | cloud | owasp | container security | policy as code | secret management | kubernetes | security | incident response
UI/UX Designer,color theory | interaction design | adobe xd | information architecture | design thinking | design systems | user testing | sketch | prototyping | motion design | ui design | a/b testing | typography | persona creation | user journey mapping | accessibility
Enterprise Architect,togaf | governance | technology roadmap | vendor management | cost optimization | enterprise architecture | documentation | cloud | api design | data architecture | stakeholder management | solution design | communication | risk management | integration patterns | digital transformation
Swift Developer,accessibility | macos development | instruments | localization | ios development | git | in-app purchase | core data | objective-c | swift | testing | concurrency | swiftui | push notifications | cloudkit | rest api | xcode
Fintech Developer,payment systems | real-time processing | redis | cryptography | swift messaging | microservices | security | open banking | spring boot | pci-dss | rest api | docker | regulatory compliance | iso 8583 | python | java | sql
Automation Engineer,git | selenium | docker | ansible | jenkins | java | bash | test frameworks | python | agile | cucumber | rest api testing | ci/cd | linux | testing | robot framework | bdd | monitoring
Embedded Systems Engineer,power optimization | debugging | jtag debugging | safety standards | can bus | iot protocols | signal processing | device drivers | c | rtos | memory management | uart/spi/i2c | pcb design | c++ | bootloaders | assembly | arm architecture | microcontrollers
R Developer,shiny | python | reproducible research | r markdown | excel | machine learning | r | dplyr | statistics | statistical modeling | etl | bioinformatics | reporting | data analysis | sql | time series | data visualization
Scala Developer,cloud | docker | stream processing | kafka | apache spark | testing | scala | distributed systems | big data | java | nosql | git | linux | play framework | functional programming | design patterns | ci/cd
IT Auditor,cloud | vulnerability assessment | sox | it audit | reporting | gdpr | documentation | change management | internal controls | stakeholder management | security fundamentals | networking | sql | itil | business processes | compliance | cobit
Helpdesk Technician,ticketing systems | networking | troubleshooting | remote desktop | documentation | linux | mobile device management | hardware | office 365 | user training | windows | active directory | printer support | email administration | itil | escalation management | security awareness
PHP Developer,html | api authentication | css | blade templates | docker | queue jobs | wordpress | composer | php | mysql | javascript | redis | eloquent orm | vue.js | phpunit
AI Engineer,rag | linux | hugging face | vector databases | fastapi | fine tuning | mlops | python | machine learning | langchain | openai api | llms | cloud | prompt engineering | transformers | pytorch | git | deep learning
Electrical Engineer,instrumentation | electrical wiring | autocad electrical | scada | protection systems | plc | testing and maintenance | motors | power electronics | electrical safety | circuit analysis | renewable energy | generators | electrical machines | power systems | simulink | control systems | electrical circuits
WordPress Developer,rest api | seo basics | performance optimization | mysql | page builders | gutenberg | css | html | php | wordpress | git | theme development | javascript | security hardening | cdn | acf | multisite
Fintech Developer,payment systems | iso 8583 | java | regulatory compliance | open banking | kafka | sql | pci-dss | microservices | real-time processing | docker | spring boot | fraud detection | python | swift messaging | security | cryptography
SEO Specialist,google analytics | technical seo | html | wordpress | local seo | keyword research | competitive analysis | content strategy | content writing | reporting | core web vitals | page speed optimization | schema markup | link building | google search console | ahrefs/semrush | seo | international seo
Python Developer,asyncio | git | sqlalchemy | pandas | docker | numpy | django | pytest | redis | flask | testing | fastapi | pydantic | postgresql | python | sql | celery
Rust Developer,testing | c/c++ | cargo | cryptography | git | networking | documentation | rust | embedded systems | linux | api design | systems programming | concurrency | cross-platform development | webassembly | async programming | memory management | performance optimization
COBOL Developer,tso/ispf | debugging | mq series | performance tuning | cics | jcl | vsam | batch processing | copybooks | rehosting | racf | file handling | banking systems | cobol | testing | mainframe systems | db2 | documentation
Big Data Engineer,apache kafka | distributed systems | delta lake | hbase | python | cloud | apache spark | data pipelines | scala | databricks | sql | hive | yarn | nosql | linux | etl
IT Auditor,gdpr | documentation | sox | risk management | data analysis | security fundamentals | cloud | communication | change management | compliance | itil | reporting | stakeholder management | vulnerability assessment | internal controls
QA Engineer,git | bdd | performance testing | security testing | selenium | automation testing | jmeter | manual testing | test planning | bug reporting | test case design | mobile testing | cypress | postman | ci/cd | python | sql
Platform Engineer,bash | cost optimization | terraform | monitoring | docker | gitops | helm | service mesh | linux | developer experience | ci/cd | networking | security | kubernetes | observability | python | ansible
Technical Project Manager,technical background | reporting | communication | ms project | change management | resource planning | risk management | contract management | jira | schedule management | stakeholder management | budgeting | quality assurance | leadership | waterfall | agile | scope management | confluence
Application Security Engineer,cryptography | penetration testing | python | supply chain security | secure code review | owasp | threat modeling | ci/cd security | security architecture | sdlc security | sast/dast | web app security | bug bounty | fuzzing | javascript | git
Electronics Engineer,pcb design | sensors | emi/emc | digital electronics | technical documentation | electronics prototyping | embedded c | power electronics | signal processing | soldering | circuit design | embedded systems | testing and debugging | analog electronics | multimeter | matlab
Application Security Engineer,git | javascript | web app security | authorization | secure code review | supply chain security | cryptography | bug bounty | python | security architecture | docker | fuzzing | sast/dast | sdlc security | api security
Robotics Engineer,hardware integration | ros | kinematics | simulation | linux | embedded systems | testing | computer aided design | slam | control systems | computer vision | pcb design | electronics | c++ | sensor fusion | path planning
Big Data Engineer,python | data lake | distributed systems | scala | yarn | delta lake | flink | nosql | data warehousing | sql | hadoop | linux | etl | apache kafka | cloud | data pipelines | databricks
SEO Specialist,page speed optimization | content writing | content strategy | link building | schema markup | wordpress | keyword research | seo | google analytics | reporting | html | ahrefs/semrush | core web vitals | data analysis | international seo | competitive analysis
R Developer,statistics | excel | statistical modeling | tidyverse | r | git | time series | ggplot2 | reproducible research | bioinformatics | reporting | python | sql | shiny | data visualization | dplyr | data analysis | machine learning
Cloud Security Engineer,compliance | security fundamentals | container security | incident response | threat detection | casb | linux | encryption | devsecops | iam | siem | terraform | cloud | dlp | networking | cloud security | zero trust
Platform Engineer,helm | bash | cost optimization | cloud | docker | developer experience | ci/cd | linux | terraform | documentation | security | monitoring | ansible | networking | kubernetes | python | observability | service mesh
Cloud Engineer,kubernetes | networking | docker | terraform | monitoring | ci/cd | serverless | linux | auto scaling | multi-cloud | cdn | iam | dns | python | cloud
Frontend Developer,javascript | graphql | accessibility | performance optimization | redux | angular | web security | testing | rest api | sass | css | pwa | webpack | responsive design | react | html
IoT Engineer,iot | edge computing | wireless communication | cloud computing | python | aws iot | data processing | linux | mqtt | rest api | esp32 | raspberry pi | arduino | http | iot security | wifi | embedded c
Full Stack Machine Learning Engineer,testing | python | ci/cd | cloud | typescript | fastapi | postgresql | rest api | machine learning | react | monitoring | git | docker | deep learning | redis | kubernetes
Research Scientist (AI),pytorch | collaboration | gpu programming | python | reproducibility | statistics | paper writing | distributed training | deep learning | nlp | experimentation | machine learning | benchmarking | reinforcement learning | data analysis | research
Big Data Engineer,hive | data warehousing | data lake | scala | cloud | distributed systems | hadoop | yarn | python | hbase | delta lake | apache kafka | etl | flink | data pipelines
Research Scientist (AI),tensorflow | pytorch | python | research | paper writing | machine learning | benchmarking | mathematics | literature review | nlp | computer vision | reinforcement learning | statistics | data analysis | deep learning | gpu programming | distributed training | experimentation
Enterprise Architect,integration patterns | vendor management | communication | cloud | governance | togaf | security | change management | technology roadmap | data architecture | documentation | enterprise architecture | risk management | digital transformation | api design | system design | cost optimization | solution design
Graphic Designer,social media design | logo design | mockup design | adobe indesign | packaging design | illustration | icon design | presentation design | photography | figma | layout design | motion graphics | color theory | typography | brand identity | print design | adobe photoshop
QA Engineer,jmeter | manual testing | sql | playwright | automation testing | git | test planning | postman | bdd | performance testing | python | cypress | mobile testing | bug reporting | api testing | security testing | selenium | agile
Blockchain Developer,tokenomics | git | web3.js | hardhat | truffle | javascript | cryptography | solidity | ethers.js | nfts | rust | security auditing | ipfs | defi | cross-chain protocols | erc standards | python
AWS Solutions Architect,networking | terraform | cloudformation | s3 | lambda | disaster recovery | cloud architecture | high availability | rds | serverless | well-architected framework | python | migration | aws | linux | docker
IT Manager,asset management | capacity planning | networking | procurement | risk management | itil | strategic planning | performance management | budgeting | security fundamentals | cloud | compliance | communication | team management | change management | vendor management | it leadership
Systems Administrator,email servers | active directory | vmware | virtualization | powershell | linux | patch management | dhcp | ldap | nfs/smb | security | hyper-v | dns | backup recovery | networking | cloud | capacity planning
Helpdesk Technician,hardware | printer support | ticketing systems | troubleshooting | documentation | escalation management | active directory | customer service | networking | itil | linux | communication | office 365 | remote desktop | email administration | security awareness
Big Data Engineer,data lake | hbase | databricks | nosql | apache spark | distributed systems | cloud | flink | etl | delta lake | linux | yarn | sql | hadoop | scala | python
Cloud Data Engineer,spark | data pipelines | bigquery | delta lake | terraform | airflow | data quality | redshift | snowflake | sql | kafka | data warehousing | monitoring | ci/cd | python | git | docker | dbt
Product Manager,jira | feature scoping | user research | customer interviews | competitive analysis | sprint planning | data analysis | okrs | stakeholder management | go-to-market strategy | sql | product strategy | roadmap planning | market research | communication | wireframing | prioritization
Systems Administrator,backup recovery | linux | virtualization | dhcp | networking | security | ldap | vmware | windows server | patch management | cloud | monitoring | capacity planning | dns | hyper-v | email servers | bash | active directory
Data Analyst,pivot tables | google analytics | r | data cleaning | statistics | google sheets | looker | power query | dax | data visualization | pandas | power bi | business acumen | sql | communication | etl
Fintech Developer,redis | payment systems | security | docker | pci-dss | python | kafka | iso 8583 | java | api gateway | swift messaging | open banking | microservices | fraud detection | regulatory compliance | sql
Java Developer,gradle | design patterns | hibernate | kafka | jpa | junit | microservices | rest api | kubernetes | spring security | redis | cloud | java | maven | spring boot
Flutter Developer,ui/ux design | internationalization | responsive layouts | state management | flavors | git | app store deployment | sqlite | dart | platform channels | animations | bloc pattern | flutter | ci/cd | rest api | firebase
Go Developer,security | bash | redis | docker | cloud | git | sql | performance optimization | message queues | grpc | microservices | monitoring | testing | concurrency | ci/cd
Quantitative Analyst,excel | financial modeling | vba | time series analysis | r | sql | portfolio management | mathematics | risk management | probability theory | machine learning | stochastic calculus | python | numpy | optimization
Game Developer,c# | ui design | game design | unity | ai behavior | animation | physics simulation | shader programming | asset pipeline | multiplayer networking | 3d modeling | particle systems | performance optimization | unreal engine | game analytics | git | level design | version control
Full Stack Machine Learning Engineer,model deployment | postgresql | ci/cd | testing | redis | git | sql | kubernetes | mlops | react | python | monitoring | fastapi | rest api | feature engineering | deep learning | machine learning
PHP Developer,css | vue.js | html | composer | rest api | javascript | mysql | blade templates | laravel | php | redis | linux | api authentication | eloquent orm | docker | wordpress | phpunit | git
NLP Engineer,nltk | gpt | named entity recognition | hugging face | onnx | sentiment analysis | tokenization | python | deep learning | statistics | tf-idf | text preprocessing | spacy | bert | machine learning | transformers | word embeddings
Business Intelligence Developer,mdx | data quality | data modeling | data warehousing | olap | sql | ssrs | reporting | dax | google data studio | excel | data governance | power bi | qlikview | tableau | python
Kubernetes Engineer,service mesh | ci/cd | networking | helm | istio | terraform | docker | python | monitoring | bash | storage | performance tuning | linux | security | argocd | kubernetes
Site Reliability Engineer (SRE),bash | incident management | runbooks | postmortem analysis | chaos engineering | networking | on-call | grafana | git | cloud | kubernetes | automation | linux | prometheus | monitoring
Cybersecurity Analyst,incident response | owasp | risk assessment | log analysis | penetration testing | cloud security | cryptography | threat intelligence | compliance | security fundamentals | linux | siem | vulnerability assessment | firewalls | python | malware analysis | networking | security auditing
iOS Developer,swiftui | core data | cocoapods/spm | swift | xcode | arkit | rest api | testflight | concurrency | alamofire | push notifications | core location | app store deployment | avfoundation | combine
Backend Developer,graphql | system design | node.js | websockets | spring boot | message queues | mongodb | git | postgresql | authentication | microservices | redis | linux | caching | rest api | sql | kafka
Python Developer,fastapi | testing | asyncio | docker | celery | cloud | sql | linux | sqlalchemy | python | pydantic | git | postgresql | redis | rest api
Android Developer,navigation component | android sdk | kotlin | jetpack compose | rest api | git | retrofit | firebase | material design | room database | google play deployment | java | ci/cd | testing | notifications | mvvm architecture | proguard | coroutines
Quantitative Analyst,sql | statistics | financial modeling | probability theory | numpy | r | machine learning | vba | monte carlo simulation | bloomberg terminal | pandas | python | optimization | excel | derivatives | stochastic calculus | time series analysis
Flutter Developer,platform channels | responsive layouts | riverpod | flutter | flavors | sqlite | animations | git | firebase | rest api | clean architecture | app store deployment | state management | bloc pattern | ui/ux design | internationalization | ci/cd | push notifications
Operations Research Analyst,sql | supply chain analytics | r | probability | predictive modeling | linear programming | optimization | decision analysis | mathematics | tableau | solver | simulation | excel | operations research | forecasting | integer programming
Signal Processing Engineer,linear algebra | fft | image processing | dsp algorithms | filtering | matlab | spectral analysis | fir filters | signal analysis | python | communication systems | iir filters | numerical methods | time frequency analysis | audio processing | modulation
